YEAR,MN,DRF01,DRF02,DRF03,DRF04,DRF05,DRF06,DRF07,DRF08,DRF09,DRF10,DRF11,DRF12,DRF13,DRF14,DRF15,DRF16,DRF17,DRF18,DRF19,DRF20,DRF21,DRF22,DRF23,DRF24,DRF25,DRF26,DRF27,DRF28,DRF29,DRF30,DRF31
1970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1970,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,4,0,0,0,0,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1970,5,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,30,27,0,0,0,0,0,0,27,32,45,66,61,28
1970,6,12,7,6,31,42,62,13,27,40,45,55,23,7,5,23,36,47,17,65,8,13,10,32,6,20,4,5,0,0,5,
1970,8,17,20,30,26,12,50,75,90,25,5,11,78,4,20,5,20,5,20,25,50,20,15,15,6,0,0,0,10,0,0,6
1970,9,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,40,50,57,8,0,0,0,0,0,0,0,0,
1970,10,0,0,30,0,0,0,0,0,0,20,15,4,29,5,0,0,0,14,25,30,35,25,7,0,0,0,0,0,0,0,0
1970,11,0,51,0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1970,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1971,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,5,0,0,0,23,
1971,5,3,0,0,0,0,0,0,0,0,0,0,0,47,0,16,6,2,12,0,0,1,12,0,0,24,18,55,50,62,60,2
1971,6,3,15,11,0,35,114,50,95,25,6,47,80,2,0,15,45,20,40,38,30,41,44.7,23.8,41.3,144.2,54.3,57.8,34.9,35,2.9,
1971,7,28,0,7,35,12,54,10,0,11,12,0,0,0,17,20,20,0,36,40,117,60,36,33,78,111,37,15,53,28,46,5
1971,8,0,0,0,0,0,0,0,1,10,47,10,3,48,22,1,0,0,0,2,4,24,34,28,13,10,6,0,0,10,5,0
1971,9,27,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,66,20,0,0,30,17,5,40,35,14,18,15,22,
1971,10,18,0,0,0,0,0,16,0,0,0,0,29,0,0,0,0,0,0,0,8,3,62,31,13,16,78,7,0,0,0,0
1971,11,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1971,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
